date,temperature,humidite,vent,precipitation
2026-06-01,22.5,65,12.0,0.0
2026-06-02,24.0,60,10.5,0.0
2026-06-03,19.5,80,18.2,4.5
2026-06-04,18.0,85,22.0,12.3
2026-06-05,21.0,70,14.1,1.0
2026-06-06,25.5,55,8.0,0.0
2026-06-07,27.0,50,9.2,0.0
2026-06-08,23.5,68,15.0,2.1
2026-06-09,20.0,78,16.5,6.0
2026-06-10,22.0,62,11.0,0.0
2026-06-11,24.5,58,9.5,0.0
2026-06-12,26.0,52,7.8,0.0
2026-06-13,28.1,45,6.2,0.0
2026-06-14,29.0,42,5.5,0.0
2026-06-15,25.2,55,10.2,0.0
2026-06-16,21.8,72,17.0,5.2
2026-06-17,19.2,82,19.5,8.5
2026-06-18,20.5,75,14.0,3.0
2026-06-19,23.0,66,11.2,0.0
2026-06-20,25.0,58,8.5,0.0
2026-06-21,27.5,48,7.0,0.0
2026-06-22,29.2,40,6.0,0.0
2026-06-23,30.1,38,5.0,0.0
2026-06-24,27.0,50,12.5,0.0
2026-06-25,24.1,63,15.0,1.2
2026-06-26,22.0,70,13.2,4.0
2026-06-27,23.5,65,10.0,0.0
2026-06-28,26.0,55,8.2,0.0
2026-06-29,28.5,46,6.5,0.0
2026-06-30,31.0,35,4.8,0.0
